mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Background.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0.1414	3.9867e-07
0	0.1416	3.9867e-07
0	0.1418	1.99335e-07
0	0.142	3.9867e-07
0	0.1422	9.96675e-08
0	0.1424	0
0	0.1426	0
0	0.1428	1.99335e-07
0	0.143	9.96675e-08
0	0.1432	1.99335e-07
0	0.1434	9.96675e-08
0	0.1436	0
0	0.1438	9.96675e-08
0	0.144	9.96675e-08
0	0.1442	1.99335e-07
0	0.1444	1.99335e-07
0	0.1446	1.99335e-07
0	0.1448	1.99335e-07
0	0.145	1.99335e-07
0	0.1452	1.99335e-07
0	0.1454	2.99003e-07
0	0.1456	3.9867e-07
0	0.1458	9.96675e-08
0	0.146	0
0	0.1462	1.99335e-07
0	0.1464	2.99003e-07
0	0.1466	0
0	0.1468	3.9867e-07
0	0.147	3.9867e-07
0	0.1472	3.9867e-07
0	0.1474	2.99003e-07
0	0.1476	0
0	0.1478	9.96675e-08
0	0.148	0
0	0.1482	1.99335e-07
0	0.1484	6.97673e-07
0	0.1486	3.9867e-07
0	0.1488	9.96675e-08
0	0.149	2.99003e-07
0	0.1492	1.99335e-07
0	0.1494	9.96675e-08
0	0.1496	1.99335e-07
0	0.1498	1.99335e-07
0	0.15	0
0	0.1502	2.99003e-07
0	0.1504	0
0	0.1506	1.99335e-07
0	0.1508	9.96675e-08
0	0.151	4.98338e-07
0	0.1512	1.99335e-07
0	0.1514	2.99003e-07
0	0.1516	1.99335e-07
0	0.1518	9.96675e-08
0	0.152	1.99335e-07
0	0.1522	9.96675e-08
0	0.1524	4.98338e-07
0	0.1526	0
0	0.1528	1.99335e-07
0	0.153	3.9867e-07
0	0.1532	1.99335e-07
0	0.1534	1.99335e-07
0	0.1536	9.96675e-08
0	0.1538	2.99003e-07
0	0.154	2.99003e-07
0	0.1542	4.98338e-07
0	0.1544	9.96675e-08
0	0.1546	1.99335e-07
0	0.1548	1.99335e-07
0	0.155	1.99335e-07
0	0.1552	3.9867e-07
0	0.1554	2.99003e-07
0	0.1556	2.99003e-07
0	0.1558	1.99335e-07
0	0.156	1.99335e-07
0	0.1562	4.98338e-07
0	0.1564	2.99003e-07
0	0.1566	3.9867e-07
0	0.1568	9.96675e-08
0	0.157	1.99335e-07
0	0.1572	9.96675e-08
0	0.1574	9.96675e-08
0	0.1576	3.9867e-07
0	0.1578	9.96675e-08
0	0.158	4.98338e-07
0	0.1582	9.96675e-08
0	0.1584	1.99335e-07
0	0.1586	2.99003e-07
0	0.1588	4.58471e-06
0	0.159	2.38205e-05
0	0.1592	3.29899e-05
0	0.1594	0.017328
0	0.1596	0.395141
0	0.1598	0.540716
0	0.16	0.049217
0	0.1602	0.00077053
0	0.1604	2.85049e-05
0	0.1606	2.29235e-06
0	0.1608	3.9867e-07
0	0.161	0
0	0.1612	0
0	0.1614	0
0	0.1616	0
0	0.1618	0
0	0.162	1.99335e-07
0	0.1622	0
0	0.1624	1.99335e-07
0	0.1626	6.07972e-06
0	0.1628	1.11628e-05
0	0.163	8.07307e-06
0	0.1632	3.6877e-06
0	0.1634	1.19601e-06
0	0.1636	5.98005e-07
0	0.1638	1.99335e-07
0	0.164	9.96675e-08
0	0.1642	0
0	0.1644	0
0	0.1646	0
0	0.1648	0
0	0.165	0
0	0.1652	0
0	0.1654	0
0	0.1656	0
0	0.1658	0
0	0.166	0
0	0.1662	0
0	0.1664	0
0	0.1666	0
0	0.1668	1.99335e-07
0	0.167	9.96675e-08
