Buf/Write profile
=================
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex3.1.h5
Segment: 1 of 1
Number of profiles (masses): 5
Profile length: 374 points (374.99 s)

index	time (s)	nominal2 mass 42	nominal2 mass 45	nominal2 mass 59	nominal2 mass 61	nominal2 mass 154
34	34.1658	0.000665779	0.00109854	0.00063249	0.000399467	3.32889e-05
35	35.1698	0.000732357	0.000932091	0.000366178	0.000366178	9.98668e-05
36	36.176	0.000699068	0.00116511	0.000599201	0.000266312	9.98668e-05
37	37.1806	0.000532623	0.00129827	0.000432756	0.000166445	0.000199734
38	38.1864	0.000332889	0.000932091	0.000499334	0.000332889	0.000166445
39	39.1932	0.000798935	0.000998668	0.000399467	0.000199734	6.65779e-05
40	40.1969	0.000532623	0.000998668	0.000565912	0.000199734	0.000166445
41	41.2024	0.000565912	0.00106525	0.000532623	0.000266312	9.98668e-05
42	42.2072	0.000798935	0.00133156	0.000599201	0.000133156	0.000266312
43	43.2128	0.00063249	0.000998668	0.000432756	0.000299601	3.32889e-05
44	44.2189	0.000565912	0.00109854	0.000532623	0.000133156	9.98668e-05
45	45.225	0.00063249	0.000965379	0.000565912	0.000399467	0.000133156
46	46.2303	0.000665779	0.000765646	0.000532623	0.000466045	0.000133156
47	47.236	0.000699068	0.00106525	0.000599201	3.32889e-05	0.000299601
48	48.24	0.000299601	0.000998668	0.000466045	0.000266312	0.000199734
49	49.2441	0.000565912	0.000998668	0.00063249	0.000166445	9.98668e-05
50	50.2496	0.000565912	0.000965379	0.000166445	0.000332889	0.000199734
51	51.2545	0.00063249	0.00109854	0.000466045	0.000199734	0.000133156
52	52.2619	0.000699068	0.00123169	0.000432756	0.000299601	6.65779e-05
53	53.2679	0.000466045	0.00123169	0.000565912	9.98668e-05	0.000166445
54	54.2721	0.000665779	0.00103196	0.000499334	0.000332889	0
55	55.2775	0.000699068	0.00113182	0.000532623	0.000233023	3.32889e-05
56	56.2819	0.000865513	0.00146471	0.000665779	0.000199734	0.000233023
57	57.2867	0.000499334	0.00146471	0.00063249	0.000233023	9.98668e-05
58	58.2923	0.000665779	0.00126498	0.000466045	0.000299601	6.65779e-05
59	59.2989	0.000532623	0.00113182	0.000332889	0.000266312	0.000199734
60	60.3032	0.000665779	0.000965379	0.000565912	0.000266312	0
61	61.3095	0.00063249	0.00143142	0.000732357	0.000133156	0
62	62.3138	0.000499334	0.00109854	0.000732357	0.000366178	6.65779e-05
63	63.3195	0.000565912	0.00133156	0.000565912	0.000332889	0.000166445
64	64.3245	0.000765646	0.00139814	0.000499334	0.000133156	3.32889e-05
65	65.3321	0.000798935	0.00113182	0.000599201	0.000299601	0.000133156
66	66.3361	0.000732357	0.00116511	0.000299601	0.000299601	0.000166445
67	67.3391	0.000565912	0.00133156	0.000466045	0.000399467	0.000133156
68	68.3445	0.000599201	0.00153129	0.000466045	0.000332889	3.32889e-05
69	69.351	0.000565912	0.000832224	0.000732357	0.000233023	0.000133156
70	70.3564	0.000765646	0.00113182	0.00063249	0.000366178	0.000166445
71	71.3621	0.000599201	0.00116511	0.000499334	0.000166445	0.000166445
72	72.37	0.000499334	0.00139814	0.000699068	0.000266312	0.000133156
73	73.3763	0.000932091	0.00106525	0.000665779	0.000266312	9.98668e-05
74	74.3819	0.000665779	0.00139814	0.000432756	0.000133156	0.000266312
75	75.3856	0.000499334	0.000932091	0.000765646	0.000399467	6.65779e-05
76	76.389	0.000732357	0.00143142	0.000699068	0.000233023	0.000199734
77	77.3942	0.000832224	0.00123169	0.000798935	0.000199734	0.000199734
78	78.4	0.000499334	0.00133156	0.000233023	0.000299601	0.000166445
79	79.4042	0.00063249	0.00106525	0.000665779	0.000499334	6.65779e-05
80	80.4071	0.000499334	0.001498	0.000466045	0.000332889	6.65779e-05
81	81.4107	0.000798935	0.001498	0.000332889	0.000332889	0.000166445
82	82.4152	0.000832224	0.00133156	0.000399467	0.000199734	0.000166445
83	83.4207	0.000832224	0.00133156	0.000699068	0.000233023	9.98668e-05
84	84.4245	0.000932091	0.00136485	0.000299601	0.000332889	9.98668e-05
85	85.4287	0.000399467	0.000932091	0.000798935	0.000366178	9.98668e-05
86	86.4339	0.000832224	0.00113182	0.000399467	0.000366178	0.000166445
87	87.4398	0.00063249	0.000932091	0.000299601	0.000233023	0.000233023
88	88.446	0.000466045	0.00169774	0.000565912	0.000266312	3.32889e-05
89	89.4506	0.000665779	0.000998668	0.000399467	0.000399467	9.98668e-05
90	90.4578	0.000765646	0.00106525	0.000499334	0.000133156	0.000199734
91	91.4612	0.00063249	0.00116511	0.000332889	0.000332889	0.000133156
92	92.4692	0.000366178	0.00063249	0.000466045	0.000133156	9.98668e-05
93	93.4742	0.000599201	0.00126498	0.000532623	0.000199734	0.000199734
94	94.4776	0.000665779	0.00133156	0.000399467	0.000299601	0.000166445
95	95.4839	0.00063249	0.00116511	0.000665779	0.000199734	0.000199734
96	96.4904	0.000466045	0.00156458	0.000399467	0.000133156	9.98668e-05
97	97.496	0.00063249	0.00139814	0.00063249	0.000133156	6.65779e-05
98	98.5014	0.000266312	0.00133156	0.00063249	0.000332889	0.000133156
99	99.5064	0.000798935	0.000865513	0.000532623	0.000166445	0.000166445
100	100.511	0.000832224	0.00146471	0.000332889	0.000366178	0.000166445
101	101.516	0.000932091	0.00113182	0.000399467	6.65779e-05	0.000133156
102	102.521	0.000565912	0.00123169	0.000332889	0.000332889	6.65779e-05
103	103.526	0.00063249	0.00103196	0.000466045	0.000299601	0.000133156
104	104.535	0.00063249	0.00139814	0.000599201	0.000366178	9.98668e-05
105	105.54	0.000699068	0.00109854	0.00063249	0.000233023	6.65779e-05
106	106.546	0.00063249	0.00136485	0.000699068	0.000299601	0.000166445
107	107.549	0.000532623	0.00136485	0.000732357	6.65779e-05	0.000233023
108	108.555	0.000599201	0.00113182	0.000532623	0.000332889	3.32889e-05
109	109.56	0.00063249	0.00116511	0.000332889	0.000432756	6.65779e-05
110	110.567	0.000798935	0.00126498	0.000432756	0.000266312	0.000233023
111	111.573	0.000599201	0.00163116	0.000332889	0.000266312	0.000199734
112	112.579	0.000599201	0.000965379	0.000399467	0.000233023	0.000233023
113	113.586	0.000565912	0.00106525	0.000466045	0.000233023	6.65779e-05
114	114.592	0.000699068	0.00129827	0.000665779	0.000399467	0.000233023
115	115.598	0.000599201	0.00123169	0.000499334	0.000166445	0.000133156
116	116.603	0.000765646	0.00133156	0.000466045	0.000366178	0.000133156
117	117.608	0.000898802	0.000965379	0.000565912	0.000266312	0.000166445
118	118.615	0.000565912	0.00139814	0.000466045	0.000166445	0.000233023
119	119.62	0.000699068	0.00143142	0.000599201	0.000133156	6.65779e-05
120	120.625	0.000399467	0.000765646	0.000466045	0.000332889	0.000166445
121	121.631	0.00063249	0.00116511	0.000665779	0.000266312	0.000133156
122	122.636	0.000832224	0.000965379	0.000832224	0.000166445	9.98668e-05
123	123.641	0.00063249	0.000898802	0.000299601	0.000266312	0.000233023
124	124.647	0.000665779	0.000932091	0.000665779	0.000266312	0.000199734
125	125.652	0.000665779	0.00146471	0.000765646	0.000199734	0.000233023
126	126.657	0.000832224	0.00129827	0.000499334	0.000266312	0.000199734
127	127.663	0.000499334	0.00116511	0.000299601	0.000266312	0.000266312
128	128.669	0.000699068	0.00109854	0.000432756	0.000299601	9.98668e-05
129	129.673	0.000798935	0.00146471	0.000332889	0.000299601	3.32889e-05
130	130.677	0.000898802	0.00136485	0.000366178	0.000332889	0.000166445
131	131.682	0.000599201	0.00113182	0.000565912	0.000332889	9.98668e-05
132	132.688	0.000432756	0.00139814	0.000432756	0.000233023	0.000133156
133	133.694	0.000599201	0.000798935	0.000466045	0.000399467	0.000166445
134	134.699	0.000665779	0.00133156	0.000765646	0.000399467	0.000266312
135	135.705	0.000765646	0.00156458	0.000399467	0.000299601	0.000166445
136	136.709	0.000732357	0.00116511	0.000466045	0.000166445	0.000199734
137	137.714	0.000865513	0.00136485	0.000565912	0.000266312	0.000166445
138	138.72	0.000865513	0.001498	0.000765646	0.000366178	6.65779e-05
139	139.724	0.000599201	0.00159787	0.000432756	0.000233023	9.98668e-05
140	140.73	0.000732357	0.00113182	0.000399467	0.000366178	0.000166445
141	141.734	0.000932091	0.00109854	0.000499334	0.000399467	3.32889e-05
142	142.741	0.00063249	0.00123169	0.000599201	0.000432756	0.000133156
143	143.744	0.000599201	0.00123169	0.000599201	9.98668e-05	9.98668e-05
144	144.75	0.000466045	0.00143142	0.000699068	0.000266312	0.000233023
145	145.753	0.00063249	0.00116511	0.000665779	0.000366178	0.000166445
146	146.759	0.000732357	0.00103196	0.000399467	0.000166445	0.000199734
147	147.764	0.000565912	0.00129827	0.000732357	0.000399467	0.000133156
148	148.771	0.000699068	0.00146471	0.000732357	0.000332889	0.000133156
149	149.776	0.000765646	0.00133156	0.000798935	0.000499334	0.000233023
150	150.781	0.000599201	0.00113182	0.000499334	0.000366178	0.000133156
151	151.786	0.000765646	0.000932091	0.000399467	0.000366178	0.000133156
152	152.791	0.000665779	0.00133156	0.000499334	0.000332889	9.98668e-05
153	153.799	0.000532623	0.000932091	0.000432756	0.000233023	0.000299601
154	154.804	0.000466045	0.00103196	0.00063249	0.000199734	0.000166445
155	155.809	0.000865513	0.00133156	0.000532623	0.000399467	0.000199734
156	156.815	0.000599201	0.00109854	0.000699068	0.000233023	9.98668e-05
157	157.82	0.000798935	0.00139814	0.000599201	0.000266312	0.000233023
158	158.826	0.000532623	0.00143142	0.000832224	0.000466045	9.98668e-05
159	159.83	0.000798935	0.00113182	0.000499334	0.000532623	0.000133156
160	160.837	0.000699068	0.001498	0.000499334	0.000299601	0.000133156
161	161.842	0.000532623	0.00153129	0.000565912	0.000299601	3.32889e-05
162	162.849	0.000699068	0.00133156	0.000565912	0.000133156	0.000199734
163	163.854	0.000932091	0.00129827	0.000599201	0.000199734	0.000199734
164	164.859	0.000665779	0.00116511	0.000532623	0.000266312	0.000199734
165	165.865	0.000998668	0.00139814	0.000732357	9.98668e-05	0.000166445
166	166.87	0.000466045	0.00129827	0.00063249	0.000233023	0.000166445
167	167.877	0.000466045	0.00116511	0.000665779	0.000366178	0.000199734
168	168.881	0.000565912	0.00116511	0.000665779	0.000199734	9.98668e-05
169	169.886	0.000499334	0.0017976	0.000732357	0.000399467	6.65779e-05
170	170.892	0.000432756	0.00126498	0.000732357	0.000399467	3.32889e-05
171	171.898	0.000532623	0.00129827	0.000565912	0.000366178	0.000299601
172	172.902	0.000765646	0.0011984	0.000699068	0.000233023	0.000133156
173	173.908	0.000699068	0.00129827	0.000699068	0.000166445	0.000166445
174	174.913	0.000599201	0.00103196	0.000765646	0.000299601	9.98668e-05
175	175.917	0.000499334	0.000965379	0.00063249	0.000266312	6.65779e-05
176	176.92	0.000366178	0.00139814	0.000865513	0.000399467	9.98668e-05
177	177.925	0.000832224	0.0011984	0.000499334	0.000366178	0.000166445
178	178.929	0.000565912	0.00109854	0.000599201	0.000233023	9.98668e-05
179	179.934	0.000599201	0.00113182	0.000332889	0.000399467	0.000366178
180	180.938	0.000499334	0.00136485	0.000599201	0.000299601	9.98668e-05
181	181.945	0.000765646	0.00156458	0.000499334	0.000399467	0.000133156
182	182.949	0.000865513	0.00133156	0.00063249	0.000366178	0.000299601
183	183.954	0.000699068	0.00126498	0.000665779	0.000366178	0.000233023
184	184.957	0.000565912	0.00153129	0.00063249	0.000366178	0.000133156
185	185.963	0.000998668	0.00136485	0.000798935	0.000233023	0.000199734
186	186.967	0.000565912	0.00133156	0.000765646	9.98668e-05	6.65779e-05
187	187.973	0.000732357	0.0011984	0.000599201	0.000332889	0.000233023
188	188.978	0.000599201	0.000965379	0.000665779	0.000499334	0.000199734
189	189.984	0.000798935	0.00169774	0.000499334	0.000233023	0.000166445
190	190.988	0.000932091	0.00103196	0.000532623	0.000332889	3.32889e-05
191	191.993	0.000932091	0.0011984	0.000732357	0.000332889	0.000166445
192	192.998	0.000466045	0.00123169	0.000366178	0.000499334	0.000233023
193	194.003	0.000532623	0.00123169	0.000499334	0.000366178	0.000199734
194	195.008	0.000665779	0.00123169	0.000732357	0.000166445	9.98668e-05
195	196.014	0.000898802	0.00136485	0.000565912	0.000266312	3.32889e-05
196	197.018	0.000765646	0.00143142	0.000565912	0.000366178	0.000166445
197	198.022	0.000832224	0.00123169	0.000565912	0.000399467	9.98668e-05
198	199.027	0.000832224	0.00126498	0.000732357	0.000399467	6.65779e-05
199	200.032	0.000266312	0.00109854	0.000466045	0.000266312	0.000199734
200	201.036	0.000699068	0.00116511	0.000599201	0.00063249	0.000266312
201	202.042	0.000765646	0.000932091	0.000332889	0.000233023	0.000166445
202	203.049	0.000599201	0.000932091	0.00063249	0.000332889	9.98668e-05
203	204.055	0.000798935	0.000932091	0.000499334	0.000299601	0.000166445
204	205.06	0.000699068	0.00143142	0.000466045	0.000399467	6.65779e-05
205	206.065	0.000699068	0.00156458	0.000599201	0.000266312	0.000133156
206	207.073	0.000432756	0.00136485	0.000366178	0.000299601	0.000199734
207	208.078	0.000998668	0.000865513	0.000299601	0.000299601	9.98668e-05
208	209.083	0.000699068	0.00153129	0.00063249	0.000299601	0.000133156
209	210.09	0.000865513	0.00136485	0.000765646	0.000166445	0.000133156
210	211.096	0.000532623	0.00116511	0.000399467	0.000332889	0.000233023
211	212.1	0.000665779	0.00103196	0.000699068	0.000399467	0.000133156
212	213.105	0.00063249	0.0011984	0.000466045	0.000166445	0.000133156
213	214.11	0.000732357	0.00143142	0.000599201	0.000233023	0.000299601
214	215.115	0.000765646	0.00123169	0.000499334	0.000199734	0.000233023
215	216.118	0.000865513	0.00139814	0.000565912	0.000366178	9.98668e-05
216	217.123	0.000832224	0.00146471	0.000499334	0.000266312	6.65779e-05
217	218.129	0.000732357	0.00133156	0.000466045	0.000266312	0.000166445
218	219.134	0.00063249	0.00163116	0.000565912	0.000299601	0.000199734
219	220.141	0.000565912	0.00133156	0.000832224	0.000266312	0.000133156
220	221.145	0.000532623	0.00109854	0.000832224	0.000332889	0.000133156
221	222.15	0.00063249	0.0011984	0.000532623	0.000366178	9.98668e-05
222	223.155	0.00106525	0.00103196	0.000466045	0.000299601	0.000166445
223	224.16	0.000898802	0.00109854	0.000665779	0.000199734	9.98668e-05
224	225.165	0.000565912	0.00146471	0.000565912	0.000366178	0.000199734
225	226.169	0.000499334	0.00116511	0.000865513	0.000166445	0.000166445
226	227.175	0.000732357	0.00109854	0.000399467	0.000233023	0.000199734
227	228.179	0.000699068	0.0011984	0.000466045	0.000233023	9.98668e-05
228	229.186	0.00063249	0.00139814	0.000466045	0.000332889	0.000133156
229	230.191	0.00063249	0.00116511	0.00063249	0.000199734	0.000166445
230	231.197	0.000765646	0.00126498	0.00063249	0.000299601	0.000166445
231	232.202	0.000865513	0.00116511	0.000599201	0.000366178	0.000133156
232	233.207	0.00063249	0.00109854	0.000499334	0.000266312	0.000199734
233	234.215	0.000532623	0.00103196	0.000765646	0.000199734	6.65779e-05
234	235.221	0.000765646	0.00139814	0.000665779	0.000599201	6.65779e-05
235	236.226	0.000865513	0.0011984	0.00063249	0.000233023	6.65779e-05
236	237.231	0.000765646	0.0011984	0.000599201	0.000166445	9.98668e-05
237	238.237	0.000832224	0.00143142	0.000332889	0.000199734	6.65779e-05
238	239.242	0.000665779	0.00163116	0.000532623	0.000432756	0.000133156
