mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex2.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0.0716	2.77408e-07
0	0.0718	2.77408e-07
0	0.072	0
0	0.0722	8.32224e-07
0	0.0724	8.32224e-07
0	0.0726	2.77408e-07
0	0.0728	2.77408e-07
0	0.073	8.32224e-07
0	0.0732	0
0	0.0734	2.77408e-07
0	0.0736	2.77408e-07
0	0.0738	2.77408e-07
0	0.074	2.77408e-07
0	0.0742	2.77408e-07
0	0.0744	5.54816e-07
0	0.0746	2.77408e-07
0	0.0748	8.32224e-07
0	0.075	0
0	0.0752	5.54816e-07
0	0.0754	5.54816e-07
0	0.0756	8.32224e-07
0	0.0758	2.77408e-07
0	0.076	2.77408e-07
0	0.0762	2.77408e-07
0	0.0764	2.77408e-07
0	0.0766	2.77408e-07
0	0.0768	0
0	0.077	0
0	0.0772	5.54816e-07
0	0.0774	5.54816e-07
0	0.0776	2.77408e-07
0	0.0778	2.77408e-07
0	0.078	2.77408e-07
0	0.0782	0
0	0.0784	2.77408e-07
0	0.0786	0
0	0.0788	0
0	0.079	0
0	0.0792	8.32224e-07
0	0.0794	5.54816e-07
0	0.0796	0
0	0.0798	8.32224e-07
0	0.08	2.77408e-07
0	0.0802	2.77408e-07
0	0.0804	0
0	0.0806	2.77408e-07
0	0.0808	2.77408e-07
0	0.081	5.54816e-07
0	0.0812	5.54816e-07
0	0.0814	5.54816e-07
0	0.0816	0
0	0.0818	2.77408e-07
0	0.082	5.54816e-07
0	0.0822	5.54816e-07
0	0.0824	0
0	0.0826	0
0	0.0828	2.77408e-07
0	0.083	8.32224e-07
0	0.0832	2.77408e-07
0	0.0834	5.54816e-07
0	0.0836	2.77408e-07
0	0.0838	2.77408e-07
0	0.084	5.54816e-07
0	0.0842	8.32224e-07
0	0.0844	0
0	0.0846	0
0	0.0848	5.54816e-07
0	0.085	0
0	0.0852	2.77408e-07
0	0.0854	0
0	0.0856	0
0	0.0858	0
0	0.086	0
0	0.0862	2.77408e-07
0	0.0864	0
0	0.0866	0
0	0.0868	5.54816e-07
0	0.087	0
0	0.0872	8.32224e-07
0	0.0874	5.54816e-07
0	0.0876	2.77408e-07
0	0.0878	2.77408e-07
0	0.088	2.77408e-07
0	0.0882	5.54816e-07
0	0.0884	8.32224e-07
0	0.0886	1.10963e-06
0	0.0888	2.77408e-07
0	0.089	5.54816e-07
0	0.0892	2.77408e-07
0	0.0894	0
0	0.0896	8.32224e-07
0	0.0898	2.77408e-07
0	0.09	5.54816e-07
0	0.0902	0
0	0.0904	2.77408e-07
0	0.0906	2.77408e-07
0	0.0908	0
0	0.091	0
0	0.0912	0
0	0.0914	5.54816e-07
0	0.0916	1.10963e-06
0	0.0918	8.32224e-07
0	0.092	8.32224e-07
0	0.0922	2.77408e-07
0	0.0924	2.77408e-07
0	0.0926	0
0	0.0928	0
0	0.093	1.10963e-06
0	0.0932	2.77408e-07
0	0.0934	2.77408e-07
0	0.0936	2.77408e-07
0	0.0938	2.77408e-07
0	0.094	0
0	0.0942	5.54816e-07
0	0.0944	2.77408e-07
0	0.0946	5.54816e-07
0	0.0948	5.54816e-07
0	0.095	2.77408e-07
