mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex3.1.h5
Segment start index: 0
Segment end index: 0
Buf start index: 0
Buf end index: 1
Write start index: 0
Write end index: 30
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Combined
0	0.1098	1.07384e-06
0	0.11	0
0	0.1102	5.36918e-07
0	0.1104	5.36918e-07
0	0.1106	0
0	0.1108	1.61076e-06
0	0.111	5.36918e-07
0	0.1112	5.36918e-07
0	0.1114	0
0	0.1116	1.07384e-06
0	0.1118	0
0	0.112	5.36918e-07
0	0.1122	5.36918e-07
0	0.1124	5.36918e-07
0	0.1126	5.36918e-07
0	0.1128	1.07384e-06
0	0.113	5.36918e-07
0	0.1132	0
0	0.1134	5.36918e-07
0	0.1136	0
0	0.1138	0
0	0.114	0
0	0.1142	5.36918e-07
0	0.1144	5.36918e-07
0	0.1146	1.07384e-06
0	0.1148	0
0	0.115	5.36918e-07
0	0.1152	5.36918e-07
0	0.1154	5.36918e-07
0	0.1156	0
0	0.1158	0
0	0.116	5.36918e-07
0	0.1162	5.36918e-07
0	0.1164	0
0	0.1166	5.36918e-07
0	0.1168	0
0	0.117	0
0	0.1172	5.36918e-07
0	0.1174	0
0	0.1176	0
0	0.1178	0
0	0.118	0
0	0.1182	0
0	0.1184	0
0	0.1186	0
0	0.1188	0
0	0.119	0
0	0.1192	0
0	0.1194	0
0	0.1196	5.36918e-07
0	0.1198	5.36918e-07
0	0.12	0
0	0.1202	0
0	0.1204	0
0	0.1206	1.07384e-06
0	0.1208	0
0	0.121	5.36918e-07
0	0.1212	1.07384e-06
0	0.1214	0
0	0.1216	0
0	0.1218	0
0	0.122	5.36918e-07
0	0.1222	0
0	0.1224	1.61076e-06
0	0.1226	5.36918e-07
0	0.1228	0
0	0.123	0
0	0.1232	0
0	0.1234	0
0	0.1236	0
0	0.1238	0
0	0.124	1.07384e-06
0	0.1242	0
0	0.1244	1.07384e-06
0	0.1246	0
0	0.1248	0
0	0.125	1.07384e-06
0	0.1252	5.36918e-07
0	0.1254	0
0	0.1256	1.07384e-06
0	0.1258	5.36918e-07
0	0.126	0
0	0.1262	0
0	0.1264	0
0	0.1266	0
0	0.1268	5.36918e-07
0	0.127	0
0	0.1272	5.36918e-07
0	0.1274	5.36918e-07
0	0.1276	5.36918e-07
0	0.1278	5.36918e-07
0	0.128	0
0	0.1282	0
0	0.1284	5.36918e-07
0	0.1286	5.36918e-07
0	0.1288	0
0	0.129	0
0	0.1292	0
0	0.1294	0
0	0.1296	5.36918e-07
0	0.1298	5.36918e-07
0	0.13	1.07384e-06
0	0.1302	5.36918e-07
0	0.1304	5.36918e-07
0	0.1306	5.36918e-07
0	0.1308	5.36918e-07
0	0.131	5.36918e-07
0	0.1312	0
0	0.1314	0
0	0.1316	0
0	0.1318	5.36918e-07
0	0.132	0
0	0.1322	0
0	0.1324	0
0	0.1326	5.36918e-07
0	0.1328	0
0	0.133	0
0	0.1332	5.36918e-07
0	0.1334	0
0	0.1336	5.36918e-07
0	0.1338	1.07384e-06
0	0.134	0
0	0.1342	5.36918e-07
0	0.1344	0
0	0.1346	5.36918e-07
0	0.1348	0
0	0.135	0
0	0.1352	0
0	0.1354	0
0	0.1356	5.36918e-07
0	0.1358	0
0	0.136	1.07384e-06
0	0.1362	0
0	0.1364	0
0	0.1366	5.36918e-07
0	0.1368	0
0	0.137	5.36918e-07
0	0.1372	0
0	0.1374	5.36918e-07
0	0.1376	0
0	0.1378	0
0	0.138	1.07384e-06
0	0.1382	5.36918e-07
0	0.1384	0
0	0.1386	0
0	0.1388	0
0	0.139	0
0	0.1392	0
0	0.1394	0
0	0.1396	1.07384e-06
0	0.1398	5.36918e-07
0	0.14	5.36918e-07
0	0.1402	5.36918e-07
0	0.1404	0
0	0.1406	0
0	0.1408	0
0	0.141	1.07384e-06
0	0.1412	1.07384e-06
0	0.1414	0
0	0.1416	0
0	0.1418	5.36918e-07
0	0.142	0
0	0.1422	0
0	0.1424	0
0	0.1426	0
0	0.1428	0
0	0.143	0
0	0.1432	0
0	0.1434	0
0	0.1436	5.36918e-07
0	0.1438	0
0	0.144	0
0	0.1442	0
0	0.1444	1.61076e-06
0	0.1446	0
0	0.1448	5.36918e-07
0	0.145	1.07384e-06
0	0.1452	0
0	0.1454	5.36918e-07
0	0.1456	0
0	0.1458	0
0	0.146	0
0	0.1462	0
0	0.1464	0
0	0.1466	0
0	0.1468	0
0	0.147	0
0	0.1472	0
0	0.1474	5.36918e-07
0	0.1476	1.07384e-06
0	0.1478	5.36918e-07
0	0.148	0
0	0.1482	1.07384e-06
0	0.1484	1.07384e-06
0	0.1486	1.07384e-06
0	0.1488	5.36918e-07
0	0.149	0
0	0.1492	0
0	0.1494	1.07384e-06
0	0.1496	0
0	0.1498	0
0	0.15	0
0	0.1502	1.07384e-06
0	0.1504	5.36918e-07
0	0.1506	0
0	0.1508	5.36918e-07
0	0.151	5.36918e-07
0	0.1512	0
0	0.1514	0
0	0.1516	1.07384e-06
0	0.1518	0
0	0.152	5.36918e-07
0	0.1522	5.36918e-07
0	0.1524	1.61076e-06
0	0.1526	0
0	0.1528	0
0	0.153	1.07384e-06
0	0.1532	0
0	0.1534	5.36918e-07
0	0.1536	0
0	0.1538	1.07384e-06
0	0.154	5.36918e-07
0	0.1542	0
0	0.1544	0
0	0.1546	0
0	0.1548	5.36918e-07
0	0.155	5.36918e-07
0	0.1552	1.07384e-06
0	0.1554	0
0	0.1556	0
0	0.1558	5.36918e-07
0	0.156	5.36918e-07
0	0.1562	5.36918e-07
0	0.1564	0
0	0.1566	0
0	0.1568	5.36918e-07
0	0.157	5.36918e-07
0	0.1572	0
0	0.1574	1.07384e-06
0	0.1576	0
0	0.1578	0
0	0.158	1.61076e-06
0	0.1582	5.36918e-07
0	0.1584	1.61076e-06
0	0.1586	1.07384e-06
0	0.1588	5.36918e-07
0	0.159	1.61076e-05
