mass spectrum
=============
Data source: C:\users\taco\Documents\fp1\07_Massenspektroskopie\data\Ex3.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 110
Write end index: 161
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Combined
0	0.0828	6.46387e-07
0	0.083	0
0	0.0832	3.23194e-07
0	0.0834	0
0	0.0836	0
0	0.0838	6.46387e-07
0	0.084	3.23194e-07
0	0.0842	3.23194e-07
0	0.0844	0
0	0.0846	6.46387e-07
0	0.0848	0
0	0.085	0
0	0.0852	0
0	0.0854	0
0	0.0856	6.46387e-07
0	0.0858	3.23194e-07
0	0.086	0
0	0.0862	9.69581e-07
0	0.0864	0
0	0.0866	3.23194e-07
0	0.0868	3.23194e-07
0	0.087	0
0	0.0872	3.23194e-07
0	0.0874	0
0	0.0876	9.69581e-07
0	0.0878	0
0	0.088	9.69581e-07
0	0.0882	3.23194e-07
0	0.0884	0
0	0.0886	0
0	0.0888	3.23194e-07
0	0.089	0
0	0.0892	3.23194e-07
0	0.0894	3.23194e-07
0	0.0896	3.23194e-07
0	0.0898	3.23194e-07
0	0.09	0
0	0.0902	3.23194e-07
0	0.0904	3.23194e-07
0	0.0906	3.23194e-07
0	0.0908	3.23194e-07
0	0.091	0
0	0.0912	0
0	0.0914	3.23194e-07
0	0.0916	0
0	0.0918	0
0	0.092	0
0	0.0922	3.23194e-07
0	0.0924	3.23194e-07
0	0.0926	3.23194e-07
0	0.0928	0
0	0.093	6.46387e-07
0	0.0932	0
0	0.0934	0
0	0.0936	0
0	0.0938	9.69581e-07
0	0.094	6.46387e-07
0	0.0942	0
0	0.0944	9.69581e-07
0	0.0946	3.23194e-07
0	0.0948	9.69581e-07
0	0.095	0
0	0.0952	3.23194e-07
0	0.0954	6.46387e-07
0	0.0956	6.46387e-07
0	0.0958	3.23194e-07
0	0.096	0
0	0.0962	0
0	0.0964	0
0	0.0966	0
0	0.0968	0
0	0.097	3.23194e-07
0	0.0972	0
0	0.0974	3.23194e-07
0	0.0976	0
0	0.0978	3.23194e-07
0	0.098	0
0	0.0982	0
0	0.0984	3.23194e-07
0	0.0986	0
0	0.0988	3.23194e-07
0	0.099	0
0	0.0992	9.69581e-07
0	0.0994	0
0	0.0996	3.23194e-07
0	0.0998	0
0	0.1	0
0	0.1002	0
0	0.1004	3.23194e-07
0	0.1006	9.69581e-07
0	0.1008	3.23194e-07
0	0.101	3.23194e-07
0	0.1012	0
0	0.1014	3.23194e-07
0	0.1016	3.23194e-07
0	0.1018	9.69581e-07
0	0.102	6.46387e-07
0	0.1022	3.23194e-07
0	0.1024	6.46387e-07
0	0.1026	3.23194e-07
0	0.1028	6.46387e-07
0	0.103	3.23194e-07
0	0.1032	9.69581e-07
0	0.1034	0
0	0.1036	6.46387e-07
0	0.1038	3.23194e-07
0	0.104	0
0	0.1042	6.46387e-07
0	0.1044	0
0	0.1046	9.69581e-07
0	0.1048	0
0	0.105	6.46387e-07
0	0.1052	0
0	0.1054	3.23194e-07
0	0.1056	0
0	0.1058	0
0	0.106	9.69581e-07
0	0.1062	3.23194e-07
0	0.1064	0
0	0.1066	0
0	0.1068	0
0	0.107	3.23194e-07
0	0.1072	3.23194e-07
0	0.1074	6.46387e-07
0	0.1076	3.23194e-07
0	0.1078	3.23194e-07
0	0.108	3.23194e-07
0	0.1082	9.69581e-07
0	0.1084	0
0	0.1086	0
0	0.1088	0
0	0.109	6.46387e-07
0	0.1092	0
0	0.1094	6.46387e-07
0	0.1096	3.23194e-07
0	0.1098	3.23194e-07
0	0.11	0
0	0.1102	3.23194e-07
0	0.1104	0
0	0.1106	6.46387e-07
0	0.1108	0
0	0.111	6.46387e-07
0	0.1112	3.23194e-07
0	0.1114	6.46387e-07
0	0.1116	3.23194e-07
0	0.1118	0
0	0.112	0
0	0.1122	6.46387e-07
0	0.1124	0
0	0.1126	3.23194e-07
0	0.1128	3.23194e-07
0	0.113	3.23194e-07
0	0.1132	0
0	0.1134	9.69581e-07
0	0.1136	0
0	0.1138	6.46387e-07
0	0.114	0
0	0.1142	6.46387e-07
0	0.1144	6.46387e-07
0	0.1146	3.23194e-07
0	0.1148	1.29277e-06
0	0.115	0
0	0.1152	0
0	0.1154	9.69581e-07
0	0.1156	6.46387e-07
0	0.1158	0
0	0.116	6.46387e-07
0	0.1162	3.23194e-07
0	0.1164	3.23194e-07
0	0.1166	6.46387e-07
0	0.1168	0
0	0.117	0
0	0.1172	6.46387e-07
0	0.1174	0
0	0.1176	3.23194e-07
0	0.1178	6.46387e-07
0	0.118	6.46387e-07
0	0.1182	9.69581e-07
0	0.1184	0
0	0.1186	3.23194e-07
0	0.1188	0
0	0.119	0
0	0.1192	0
0	0.1194	6.46387e-07
0	0.1196	0
0	0.1198	0
0	0.12	6.46387e-07
0	0.1202	0
0	0.1204	3.23194e-07
0	0.1206	3.23194e-07
0	0.1208	3.23194e-07
0	0.121	3.23194e-07
0	0.1212	0
0	0.1214	1.29277e-06
0	0.1216	0
0	0.1218	3.23194e-07
0	0.122	9.69581e-07
0	0.1222	6.46387e-07
0	0.1224	3.23194e-07
0	0.1226	3.23194e-07
0	0.1228	0
0	0.123	3.23194e-07
0	0.1232	1.29277e-06
0	0.1234	3.23194e-07
0	0.1236	0
0	0.1238	0
0	0.124	0
0	0.1242	6.46387e-07
0	0.1244	3.23194e-07
0	0.1246	3.23194e-07
0	0.1248	3.23194e-07
0	0.125	9.69581e-07
0	0.1252	9.69581e-07
0	0.1254	3.23194e-07
0	0.1256	6.46387e-07
0	0.1258	6.46387e-07
0	0.126	3.23194e-07
0	0.1262	3.23194e-07
0	0.1264	3.23194e-07
0	0.1266	6.46387e-07
0	0.1268	6.46387e-07
0	0.127	3.23194e-07
0	0.1272	3.23194e-07
0	0.1274	0
0	0.1276	9.69581e-07
0	0.1278	0
0	0.128	3.23194e-07
0	0.1282	3.23194e-07
0	0.1284	6.46387e-07
0	0.1286	3.23194e-07
0	0.1288	6.46387e-07
0	0.129	0
0	0.1292	3.23194e-07
0	0.1294	0
0	0.1296	6.46387e-07
0	0.1298	6.46387e-07
0	0.13	0
0	0.1302	6.46387e-07
0	0.1304	3.23194e-07
0	0.1306	6.46387e-07
0	0.1308	6.46387e-07
0	0.131	3.23194e-07
0	0.1312	0
0	0.1314	3.23194e-07
0	0.1316	3.23194e-07
0	0.1318	0
0	0.132	6.46387e-07
0	0.1322	0
0	0.1324	0
0	0.1326	3.23194e-07
0	0.1328	6.46387e-07
0	0.133	6.46387e-07
0	0.1332	3.23194e-07
0	0.1334	0
0	0.1336	0
0	0.1338	6.46387e-07
0	0.134	0
0	0.1342	0
0	0.1344	0
0	0.1346	3.23194e-07
0	0.1348	3.23194e-07
0	0.135	0
0	0.1352	3.23194e-07
0	0.1354	3.23194e-07
0	0.1356	0
0	0.1358	0
0	0.136	0
0	0.1362	3.23194e-07
0	0.1364	0
0	0.1366	3.23194e-07
0	0.1368	3.23194e-07
0	0.137	6.46387e-07
0	0.1372	0
0	0.1374	6.46387e-07
0	0.1376	0
0	0.1378	3.23194e-07
0	0.138	0
0	0.1382	3.23194e-07
0	0.1384	0
0	0.1386	6.46387e-07
0	0.1388	9.69581e-07
0	0.139	3.23194e-07
0	0.1392	0
0	0.1394	6.46387e-07
0	0.1396	6.46387e-07
0	0.1398	0
0	0.14	0
0	0.1402	3.23194e-07
0	0.1404	3.23194e-07
0	0.1406	0
0	0.1408	6.46387e-07
0	0.141	3.23194e-07
0	0.1412	0
0	0.1414	3.23194e-07
0	0.1416	6.46387e-07
0	0.1418	6.46387e-07
0	0.142	6.46387e-07
0	0.1422	3.23194e-07
0	0.1424	0
0	0.1426	0
0	0.1428	0
0	0.143	6.46387e-07
0	0.1432	6.46387e-07
0	0.1434	0
0	0.1436	3.23194e-07
0	0.1438	3.23194e-07
0	0.144	3.23194e-07
0	0.1442	3.23194e-07
0	0.1444	3.23194e-07
0	0.1446	0
0	0.1448	3.23194e-07
0	0.145	0
0	0.1452	6.46387e-07
0	0.1454	6.46387e-07
0	0.1456	3.23194e-07
0	0.1458	3.23194e-07
0	0.146	0
0	0.1462	3.23194e-07
0	0.1464	0
0	0.1466	6.46387e-07
0	0.1468	3.23194e-07
0	0.147	3.23194e-07
0	0.1472	0
0	0.1474	0
0	0.1476	6.46387e-07
0	0.1478	9.69581e-07
0	0.148	6.46387e-07
0	0.1482	3.23194e-07
0	0.1484	6.46387e-07
0	0.1486	3.23194e-07
0	0.1488	9.69581e-07
0	0.149	6.46387e-07
0	0.1492	9.69581e-07
0	0.1494	3.23194e-07
0	0.1496	9.69581e-07
0	0.1498	0
0	0.15	3.23194e-07
0	0.1502	3.23194e-07
0	0.1504	3.23194e-07
0	0.1506	6.46387e-07
0	0.1508	1.29277e-06
0	0.151	0
0	0.1512	3.23194e-07
0	0.1514	6.46387e-07
0	0.1516	6.46387e-07
0	0.1518	0
0	0.152	3.23194e-07
0	0.1522	0
0	0.1524	3.23194e-07
