Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.844e-03,-0.3,-0.26,0.000399999,0.0044
-3.842e-03,-0.28,-0.32,-0.000400001,-0.0076
-3.840e-03,-0.28,-0.26,-0.0028,0.0028
-3.839e-03,-0.3,-0.32,-0.0012,-0.0068
-3.837e-03,-0.3,-0.26,-0.0012,0.0028
-3.835e-03,-0.3,-0.34,-0.002,-0.0076
-3.833e-03,-0.3,-0.26,-0.000400001,0.0036
-3.831e-03,-0.3,-0.32,-0.0028,-0.0076
-3.829e-03,-0.3,-0.26,-0.002,0.0036
-3.827e-03,-0.3,-0.32,-0.0012,-0.0068
-3.825e-03,-0.3,-0.26,-0.0012,0.0036
-3.823e-03,-0.3,-0.34,-0.0028,-0.0068
-3.821e-03,-0.3,-0.28,-0.0052,0.002
-3.819e-03,-0.3,-0.34,-0.0012,-0.0076
-3.817e-03,-0.3,-0.28,-0.000400001,0.002
-3.815e-03,-0.3,-0.34,-0.0052,-0.0068
-3.814e-03,-0.3,-0.28,-0.0052,0.002
-3.812e-03,-0.3,-0.34,-0.0036,-0.0068
-3.810e-03,-0.3,-0.28,-0.0036,0.0036
-3.808e-03,-0.3,-0.34,-0.0012,-0.0068
-3.806e-03,-0.3,-0.28,-0.000400001,0.0036
-3.804e-03,-0.28,-0.34,-0.0052,-0.0076
-3.802e-03,-0.32,-0.28,-0.0028,0.0028
-3.800e-03,-0.3,-0.34,-0.0052,-0.0076
-3.798e-03,-0.3,-0.28,-0.002,0.0028
-3.796e-03,-0.3,-0.34,-0.002,-0.0076
-3.794e-03,-0.3,-0.28,-0.0012,0.0028
-3.792e-03,-0.3,-0.34,-0.0036,-0.0076
-3.791e-03,-0.3,-0.28,-0.0036,0.002
-3.789e-03,-0.3,-0.34,-0.0052,-0.0076
-3.787e-03,-0.3,-0.28,-0.0028,0.002
-3.785e-03,-0.32,-0.34,-0.002,-0.0076
-3.783e-03,-0.3,-0.28,-0.000400001,0.0052
-3.781e-03,-0.3,-0.34,-0.0028,-0.0076
-3.779e-03,-0.32,-0.28,-0.002,0.002
-3.777e-03,-0.3,-0.34,-0.0012,-0.0092
-3.775e-03,-0.3,-0.28,-0.0028,0.0028
-3.773e-03,-0.3,-0.34,-0.0044,-0.0076
-3.771e-03,-0.3,-0.28,-0.002,0.0028
-3.769e-03,-0.3,-0.34,-0.0036,-0.0068
-3.767e-03,-0.32,-0.28,-0.002,0.0028
-3.766e-03,-0.32,-0.34,-0.000400001,-0.0076
-3.764e-03,-0.32,-0.28,-0.006,0.0028
-3.762e-03,-0.3,-0.34,-0.0068,-0.0084
-3.760e-03,-0.32,-0.28,-0.0028,0.0028
-3.758e-03,-0.3,-0.34,-0.0028,-0.0084
-3.756e-03,-0.3,-0.28,-0.002,0.0036
-3.754e-03,-0.32,-0.36,-0.0036,-0.0076
-3.752e-03,-0.32,-0.3,-0.0012,0.002
-3.750e-03,-0.32,-0.36,-0.0028,-0.0076
-3.748e-03,-0.32,-0.28,-0.0044,0.002
-3.746e-03,-0.32,-0.36,-0.0044,-0.0068
-3.744e-03,-0.32,-0.3,-0.0044,0.002
-3.743e-03,-0.32,-0.36,-0.0036,-0.0076
-3.741e-03,-0.34,-0.3,-0.0044,0.0028
-3.739e-03,-0.32,-0.36,-0.0036,-0.0076
-3.737e-03,-0.32,-0.3,-0.0028,0.0036
-3.735e-03,-0.32,-0.36,-0.0028,-0.0068
-3.733e-03,-0.32,-0.3,-0.0012,0.002
-3.731e-03,-0.32,-0.36,-0.0044,-0.006
-3.729e-03,-0.32,-0.3,-0.0012,0.0028
-3.727e-03,-0.32,-0.36,-0.002,-0.0076
-3.725e-03,-0.32,-0.3,-0.0044,0.0028
-3.723e-03,-0.32,-0.36,-0.0044,-0.0092
-3.721e-03,-0.32,-0.3,-0.0036,0.0028
-3.719e-03,-0.32,-0.36,-0.002,-0.0092
-3.718e-03,-0.32,-0.3,-0.0052,0.0036
-3.716e-03,-0.32,-0.36,-0.0036,-0.0068
-3.714e-03,-0.32,-0.3,-0.002,0.002
-3.712e-03,-0.32,-0.36,-0.000400001,-0.0068
-3.710e-03,-0.32,-0.3,-0.0012,0.0028
-3.708e-03,-0.32,-0.36,-0.0012,-0.0076
-3.706e-03,-0.32,-0.3,-0.0044,0.0036
-3.704e-03,-0.34,-0.36,-0.0028,-0.0084
-3.702e-03,-0.32,-0.3,-0.0044,0.0028
-3.700e-03,-0.34,-0.36,-0.002,-0.0084
-3.698e-03,-0.32,-0.3,-0.0052,0.0028
-3.696e-03,-0.32,-0.36,-0.0012,-0.0084
-3.695e-03,-0.32,-0.3,-0.000400001,0.0028
-3.693e-03,-0.34,-0.36,-0.0036,-0.0076
-3.691e-03,-0.32,-0.3,-0.0028,0.0036
-3.689e-03,-0.32,-0.36,-0.0044,-0.0076
-3.687e-03,-0.32,-0.3,-0.0028,0.0028
-3.685e-03,-0.34,-0.36,-0.002,-0.0076
-3.683e-03,-0.32,-0.3,-0.0044,0.002
-3.681e-03,-0.34,-0.36,-0.0028,-0.0084
-3.679e-03,-0.34,-0.3,-0.0012,0.002
-3.677e-03,-0.34,-0.36,-0.0044,-0.0076
-3.675e-03,-0.32,-0.3,-0.000400001,0.0036
-3.673e-03,-0.32,-0.38,-0.0036,-0.0068
-3.671e-03,-0.34,-0.3,-0.0036,0.0044
-3.670e-03,-0.34,-0.38,-0.0028,-0.0076
-3.668e-03,-0.34,-0.3,-0.002,0.002
-3.666e-03,-0.34,-0.38,-0.0028,-0.0076
-3.664e-03,-0.34,-0.3,-0.002,0.002
-3.662e-03,-0.34,-0.38,-0.0012,-0.0076
-3.660e-03,-0.34,-0.32,-0.0044,0.0028
-3.658e-03,-0.34,-0.38,-0.000400001,-0.0092
-3.656e-03,-0.34,-0.32,-0.0036,0.002
-3.654e-03,-0.34,-0.38,-0.002,-0.0084
-3.652e-03,-0.32,-0.32,-0.000400001,0.002
-3.650e-03,-0.34,-0.38,-0.0044,-0.0076
-3.648e-03,-0.34,-0.32,-0.0028,0.002
-3.647e-03,-0.34,-0.38,-0.002,-0.0092
-3.645e-03,-0.34,-0.32,-0.0028,0.0028
-3.643e-03,-0.34,-0.38,-0.0028,-0.01
-3.641e-03,-0.34,-0.32,-0.0028,0.0012
-3.639e-03,-0.34,-0.38,-0.0012,-0.0068
-3.637e-03,-0.34,-0.32,-0.0044,0.0036
-3.635e-03,-0.34,-0.38,-0.002,-0.0076
-3.633e-03,-0.34,-0.32,-0.000400001,0.002
-3.631e-03,-0.34,-0.38,-0.0044,-0.0084
-3.629e-03,-0.34,-0.32,-0.002,0.0028
-3.627e-03,-0.34,-0.38,-0.000400001,-0.0084
-3.625e-03,-0.36,-0.32,-0.0028,0.002
-3.623e-03,-0.34,-0.38,-0.0036,-0.0084
-3.622e-03,-0.36,-0.32,-0.0012,0.002
-3.620e-03,-0.34,-0.38,-0.0028,-0.0076
-3.618e-03,-0.34,-0.32,-0.0012,0.002
-3.616e-03,-0.36,-0.38,-0.0052,-0.0076
-3.614e-03,-0.36,-0.32,-0.002,0.0044
-3.612e-03,-0.34,-0.38,-0.0012,-0.0084
-3.610e-03,-0.36,-0.32,-0.0012,0.002
-3.608e-03,-0.34,-0.38,-0.002,-0.0068
-3.606e-03,-0.36,-0.32,-0.0028,0.0028
-3.604e-03,-0.36,-0.4,-0.002,-0.0076
-3.602e-03,-0.34,-0.32,-0.0028,0.002
-3.600e-03,-0.34,-0.4,-0.0036,-0.0084
-3.599e-03,-0.36,-0.32,-0.0028,0.0044
-3.597e-03,-0.34,-0.4,-0.0028,-0.0076
-3.595e-03,-0.34,-0.32,-0.0036,0.002
-3.593e-03,-0.34,-0.38,-0.0028,-0.0068
-3.591e-03,-0.36,-0.32,-0.000400001,0.0028
-3.589e-03,-0.34,-0.4,-0.0012,-0.01
-3.587e-03,-0.36,-0.34,-0.0028,0.0028
-3.585e-03,-0.36,-0.4,-0.0012,-0.0076
-3.583e-03,-0.34,-0.34,-0.0028,0.0028
-3.581e-03,-0.36,-0.4,-0.002,-0.0084
-3.579e-03,-0.36,-0.32,0.000399999,0.0036
-3.577e-03,-0.34,-0.4,-0.0028,-0.0076
-3.575e-03,-0.36,-0.34,-0.000400001,0.0028
-3.574e-03,-0.36,-0.4,-0.0036,-0.0084
-3.572e-03,-0.36,-0.34,-0.002,0.0028
-3.570e-03,-0.36,-0.4,-0.0036,-0.0068
-3.568e-03,-0.36,-0.34,-0.002,0.0028
-3.566e-03,-0.36,-0.4,-0.0036,-0.0076
-3.564e-03,-0.36,-0.34,-0.0028,0.0036
-3.562e-03,-0.36,-0.4,-0.000400001,-0.0084
-3.560e-03,-0.36,-0.34,-0.0012,0.0028
-3.558e-03,-0.36,-0.4,-0.0028,-0.0068
-3.556e-03,-0.36,-0.34,-0.002,0.002
-3.554e-03,-0.36,-0.4,-0.0052,-0.0068
-3.552e-03,-0.36,-0.34,-0.0044,0.0044
-3.551e-03,-0.36,-0.4,-0.0028,-0.0076
-3.549e-03,-0.36,-0.34,-0.0012,0.0036
-3.547e-03,-0.38,-0.4,-0.000400001,-0.0068
-3.545e-03,-0.36,-0.34,-0.0044,0.0052
-3.543e-03,-0.36,-0.4,-0.0028,-0.0076
-3.541e-03,-0.36,-0.34,-0.0036,0.0028
-3.539e-03,-0.36,-0.4,-0.0044,-0.0076
-3.537e-03,-0.38,-0.34,-0.0044,0.0028
-3.535e-03,-0.38,-0.4,-0.0044,-0.0084
-3.533e-03,-0.36,-0.34,0.000399999,0.0028
-3.531e-03,-0.36,-0.4,-0.0012,-0.0068
-3.529e-03,-0.38,-0.34,-0.0012,0.002
-3.527e-03,-0.38,-0.4,-0.0012,-0.0068
-3.526e-03,-0.36,-0.34,-0.0044,0.0028
-3.524e-03,-0.38,-0.4,-0.0028,-0.0068
-3.522e-03,-0.38,-0.34,0.0012,0.0036
-3.520e-03,-0.36,-0.4,-0.002,-0.0076
-3.518e-03,-0.38,-0.36,-0.0028,0.0028
-3.516e-03,-0.38,-0.42,-0.0028,-0.0084
-3.514e-03,-0.38,-0.36,-0.0036,0.0028
-3.512e-03,-0.38,-0.4,-0.0028,-0.0084
-3.510e-03,-0.36,-0.36,-0.0012,0.0036
-3.508e-03,-0.38,-0.42,-0.0028,-0.0068
-3.506e-03,-0.38,-0.34,-0.002,0.0028
-3.504e-03,-0.36,-0.42,-0.0052,-0.0076
-3.503e-03,-0.38,-0.36,0.000399999,0.0028
-3.501e-03,-0.36,-0.4,-0.000400001,-0.006
-3.499e-03,-0.38,-0.36,-0.0028,0.0028
-3.497e-03,-0.38,-0.42,-0.0028,-0.0076
