Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.115e-03,-0.2,-0.16,-0.004,0.002
-4.113e-03,-0.18,-0.22,-0.002,-0.01
-4.111e-03,-0.16,-0.16,-0.004,0.002
-4.109e-03,-0.2,-0.22,-0.004,-0.01
-4.107e-03,-0.18,-0.16,-0.006,0.002
-4.105e-03,-0.18,-0.22,-0.006,-0.01
-4.104e-03,-0.18,-0.16,-0.006,0.002
-4.102e-03,-0.18,-0.22,-0.002,-0.01
-4.100e-03,-0.18,-0.16,-0.006,0.002
-4.098e-03,-0.18,-0.22,-0.006,-0.01
-4.096e-03,-0.18,-0.16,-0.006,0.002
-4.094e-03,-0.18,-0.22,-0.006,-0.01
-4.092e-03,-0.18,-0.16,-0.004,0.002
-4.090e-03,-0.2,-0.22,-0.008,-0.01
-4.088e-03,-0.2,-0.16,-0.006,0.002
-4.086e-03,-0.18,-0.22,-0.006,-0.01
-4.084e-03,-0.2,-0.16,-0.006,0.002
-4.082e-03,-0.18,-0.22,-0.006,-0.01
-4.080e-03,-0.2,-0.16,-0.004,0.002
-4.079e-03,-0.2,-0.22,-0.008,-0.01
-4.077e-03,-0.18,-0.16,-0.002,0.002
-4.075e-03,-0.2,-0.22,-0.006,-0.01
-4.073e-03,-0.18,-0.16,-0.006,0.002
-4.071e-03,-0.2,-0.22,-0.006,-0.01
-4.069e-03,-0.18,-0.18,-0.008,-4.76837e-10
-4.067e-03,-0.18,-0.24,-0.002,-0.01
-4.065e-03,-0.18,-0.18,-0.006,0.002
-4.063e-03,-0.2,-0.22,-0.004,-0.01
-4.061e-03,-0.2,-0.16,-0.004,0.002
-4.059e-03,-0.2,-0.22,-0.004,-0.01
-4.057e-03,-0.2,-0.16,-0.002,0.002
-4.055e-03,-0.2,-0.22,-0.004,-0.01
-4.054e-03,-0.22,-0.16,-0.004,0.002
-4.052e-03,-0.18,-0.24,-0.002,-0.01
-4.050e-03,-0.2,-0.18,-0.006,0.002
-4.048e-03,-0.22,-0.24,-0.006,-0.01
-4.046e-03,-0.2,-0.18,-0.006,0.002
-4.044e-03,-0.2,-0.24,-0.004,-0.01
-4.042e-03,-0.2,-0.16,-0.006,0.002
-4.040e-03,-0.18,-0.24,-0.002,-0.01
-4.038e-03,-0.2,-0.16,-0.006,0.002
-4.036e-03,-0.2,-0.24,-0.004,-0.01
-4.034e-03,-0.2,-0.18,-0.006,0.002
-4.032e-03,-0.22,-0.24,-0.002,-0.01
-4.031e-03,-0.2,-0.18,-0.002,0.002
-4.029e-03,-0.2,-0.24,-0.002,-0.01
-4.027e-03,-0.2,-0.18,-0.006,0.002
-4.025e-03,-0.22,-0.24,-0.004,-0.01
-4.023e-03,-0.2,-0.18,-0.008,0.002
-4.021e-03,-0.2,-0.24,-0.004,-0.008
-4.019e-03,-0.2,-0.18,-0.006,0.004
-4.017e-03,-0.22,-0.24,-0.002,-0.01
-4.015e-03,-0.2,-0.18,-0.004,0.002
-4.013e-03,-0.22,-0.24,-0.006,-0.01
-4.011e-03,-0.2,-0.18,-0.004,0.002
-4.009e-03,-0.2,-0.24,-0.006,-0.01
-4.007e-03,-0.22,-0.18,-0.004,0.002
-4.006e-03,-0.22,-0.24,-0.004,-0.01
-4.004e-03,-0.22,-0.18,-0.008,0.002
-4.002e-03,-0.2,-0.24,-0.004,-0.01
-4.000e-03,-0.22,-0.18,-0.004,0.002
-3.998e-03,-0.22,-0.24,-0.006,-0.01
-3.996e-03,-0.2,-0.18,-0.004,0.002
-3.994e-03,-0.2,-0.26,-0.008,-0.01
-3.992e-03,-0.22,-0.18,-0.004,0.002
-3.990e-03,-0.24,-0.24,-0.002,-0.008
-3.988e-03,-0.2,-0.18,-0.002,0.002
-3.986e-03,-0.2,-0.24,-0.004,-0.01
-3.984e-03,-0.22,-0.18,-0.006,0.002
