Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.954e-03,-0.26,-0.3,-0.003,-0.009
-3.952e-03,-0.28,-0.24,-0.005,0.003
-3.950e-03,-0.26,-0.3,-0.003,-0.009
-3.948e-03,-0.26,-0.24,-0.001,0.000999998
-3.946e-03,-0.26,-0.3,-0.005,-0.011
-3.944e-03,-0.26,-0.24,-0.007,0.003
-3.942e-03,-0.28,-0.3,-0.005,-0.011
-3.940e-03,-0.28,-0.24,-0.005,0.000999998
-3.938e-03,-0.28,-0.3,-0.005,-0.009
-3.936e-03,-0.26,-0.24,-0.007,0.000999998
-3.935e-03,-0.26,-0.3,-0.005,-0.009
-3.933e-03,-0.28,-0.24,-0.003,0.000999998
-3.931e-03,-0.28,-0.3,-0.005,-0.009
-3.929e-03,-0.26,-0.26,-0.001,0.000999998
-3.927e-03,-0.26,-0.3,-0.005,-0.009
-3.925e-03,-0.28,-0.24,-0.003,0.000999998
-3.923e-03,-0.28,-0.3,-0.005,-0.009
-3.921e-03,-0.28,-0.24,-0.005,0.000999998
-3.919e-03,-0.28,-0.3,-0.005,-0.009
-3.917e-03,-0.28,-0.24,-0.003,0.000999998
-3.915e-03,-0.28,-0.32,-0.005,-0.009
-3.913e-03,-0.28,-0.24,-0.005,0.000999998
-3.911e-03,-0.28,-0.32,-0.005,-0.009
-3.910e-03,-0.28,-0.26,-0.003,0.000999998
-3.908e-03,-0.28,-0.32,-0.005,-0.009
-3.906e-03,-0.28,-0.24,-0.003,0.003
-3.904e-03,-0.28,-0.32,-0.005,-0.009
-3.902e-03,-0.28,-0.26,-0.005,0.003
-3.900e-03,-0.26,-0.3,-0.005,-0.009
-3.898e-03,-0.28,-0.26,-0.005,0.000999998
-3.896e-03,-0.28,-0.32,-0.003,-0.011
-3.894e-03,-0.28,-0.26,-0.005,0.000999998
-3.892e-03,-0.28,-0.32,-0.005,-0.011
-3.890e-03,-0.28,-0.26,-0.003,0.000999998
-3.888e-03,-0.28,-0.32,-0.007,-0.011
-3.887e-03,-0.28,-0.26,-0.005,0.003
-3.885e-03,-0.3,-0.32,-0.005,-0.009
-3.883e-03,-0.28,-0.26,-0.005,0.000999998
-3.881e-03,-0.28,-0.32,-0.005,-0.011
-3.879e-03,-0.28,-0.26,-0.003,0.000999998
-3.877e-03,-0.3,-0.32,-0.003,-0.011
-3.875e-03,-0.28,-0.26,-0.001,0.003
-3.873e-03,-0.3,-0.32,-0.007,-0.011
-3.871e-03,-0.3,-0.26,-0.001,0.003
-3.869e-03,-0.28,-0.32,-0.007,-0.009
-3.867e-03,-0.28,-0.26,-0.003,0.003
-3.865e-03,-0.28,-0.32,-0.007,-0.009
-3.863e-03,-0.28,-0.26,-0.005,0.000999998
-3.862e-03,-0.28,-0.32,-0.005,-0.011
-3.860e-03,-0.3,-0.26,-0.005,0.003
-3.858e-03,-0.28,-0.34,-0.007,-0.011
-3.856e-03,-0.28,-0.26,-0.005,0.000999998
-3.854e-03,-0.3,-0.34,-0.005,-0.011
-3.852e-03,-0.28,-0.26,-0.003,0.000999998
-3.850e-03,-0.3,-0.34,-0.003,-0.009
-3.848e-03,-0.28,-0.28,-0.003,0.000999998
-3.846e-03,-0.28,-0.32,-0.003,-0.011
-3.844e-03,-0.3,-0.26,-0.005,0.000999998
-3.842e-03,-0.3,-0.34,-0.001,-0.009
-3.840e-03,-0.3,-0.26,-0.003,0.000999998
-3.839e-03,-0.28,-0.32,-0.005,-0.009
-3.837e-03,-0.3,-0.26,-0.005,0.000999998
-3.835e-03,-0.3,-0.32,-0.005,-0.011
-3.833e-03,-0.3,-0.28,-0.005,0.003
-3.831e-03,-0.3,-0.32,-0.005,-0.009
